"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"16.08.2026","2.878,00","2.878,00","2.878,00","2.878,00","","0,52%"
"09.08.2026","2.863,00","3.083,00","3.083,00","2.844,00","","-7,32%"
"02.08.2026","3.089,00","2.936,00","3.089,00","2.936,00","","13,07%"
"26.07.2026","2.732,00","2.732,00","2.732,00","2.732,00","","-0,40%"
"19.07.2026","2.743,00","2.743,00","2.743,00","2.743,00","","-0,33%"
"12.07.2026","2.752,00","2.752,00","2.752,00","2.752,00","","-6,52%"
"05.07.2026","2.944,00","2.944,00","2.944,00","2.944,00","","8,35%"
"28.06.2026","2.717,00","2.717,00","2.717,00","2.717,00","","7,65%"
"21.06.2026","2.524,00","2.524,00","2.524,00","2.524,00","","-7,27%"
"14.06.2026","2.722,00","2.722,00","2.722,00","2.722,00","","-3,41%"
"07.06.2026","2.818,00","2.818,00","2.818,00","2.818,00","","-5,47%"
"31.05.2026","2.981,00","2.981,00","2.981,00","2.981,00","","-7,54%"
"24.05.2026","3.224,00","3.226,00","3.226,00","3.224,00","","7,79%"
"17.05.2026","2.991,00","2.991,00","2.991,00","2.991,00","","-5,08%"
"10.05.2026","3.151,00","3.151,00","3.151,00","3.151,00","","5,81%"
"03.05.2026","2.978,00","2.978,00","2.978,00","2.978,00","","9,08%"
"26.04.2026","2.730,00","2.730,00","2.730,00","2.730,00","","2,44%"
"19.04.2026","2.665,00","2.665,00","2.665,00","2.665,00","","3,82%"
"12.04.2026","2.567,00","2.567,00","2.567,00","2.567,00","","16,63%"
"05.04.2026","2.201,00","2.201,00","2.201,00","2.201,00","","6,53%"
"29.03.2026","2.066,00","2.066,00","2.066,00","2.066,00","","1,72%"
"22.03.2026","2.031,00","2.014,00","2.031,00","2.014,00","","-1,22%"
"15.03.2026","2.056,00","2.057,00","2.057,00","2.056,00","","1,38%"
"08.03.2026","2.028,00","2.028,00","2.028,00","2.028,00","","0,90%"
"01.03.2026","2.010,00","2.010,00","2.010,00","2.010,00","","-6,07%"
"22.02.2026","2.140,00","2.140,00","2.140,00","2.140,00","","4,75%"
"15.02.2026","2.043,00","2.095,00","2.095,00","2.019,00","","-1,92%"
"08.02.2026","2.083,00","2.083,00","2.083,00","2.083,00","","8,32%"
"01.02.2026","1.923,00","1.923,00","1.923,00","1.923,00","","-10,47%"
"25.01.2026","2.148,00","2.148,00","2.148,00","2.148,00","","21,91%"
"18.01.2026","1.762,00","1.762,00","1.762,00","1.762,00","","12,44%"
"11.01.2026","1.567,00","1.567,00","1.567,00","1.567,00","","-7,17%"
"04.01.2026","1.688,00","1.688,00","1.688,00","1.688,00","","-10,31%"
"28.12.2025","1.882,00","1.882,00","1.882,00","1.882,00","","0,27%"
"21.12.2025","1.877,00","1.979,00","1.979,00","1.877,00","","-7,22%"
"14.12.2025","2.023,00","2.071,00","2.071,00","2.023,00","","-8,25%"
"07.12.2025","2.205,00","2.205,00","2.205,00","2.205,00","","-19,14%"
"30.11.2025","2.727,00","2.727,00","2.727,00","2.727,00","","6,52%"
"23.11.2025","2.560,00","2.560,00","2.560,00","2.560,00","","12,53%"
"16.11.2025","2.275,00","2.275,00","2.275,00","2.275,00","","7,06%"
"09.11.2025","2.125,00","2.077,00","2.125,00","2.077,00","","1,00%"
"02.11.2025","2.104,00","2.104,00","2.104,00","2.104,00","","7,02%"
"26.10.2025","1.966,00","1.966,00","1.966,00","1.966,00","","-1,26%"
"19.10.2025","1.991,00","1.991,00","1.991,00","1.991,00","","-3,77%"
"12.10.2025","2.069,00","2.046,00","2.069,00","2.046,00","","6,87%"
"05.10.2025","1.936,00","1.936,00","1.936,00","1.936,00","","1,84%"
"28.09.2025","1.901,00","1.901,00","1.901,00","1.901,00","","-15,85%"
"21.09.2025","2.259,00","2.259,00","2.259,00","2.259,00","","2,54%"
"14.09.2025","2.203,00","2.203,00","2.203,00","2.203,00","","3,62%"
"07.09.2025","2.126,00","2.126,00","2.126,00","2.126,00","","7,43%"
"31.08.2025","1.979,00","1.963,00","1.979,00","1.963,00","","-2,27%"
"24.08.2025","2.025,00","2.025,00","2.025,00","2.025,00","","4,17%"
