"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.07.2026","2.732,00","2.732,00","2.732,00","2.732,00","","2,21%"
"30.07.2026","2.673,00","2.673,00","2.673,00","2.673,00","","1,56%"
"29.07.2026","2.632,00","2.632,00","2.632,00","2.632,00","","-1,20%"
"28.07.2026","2.664,00","2.664,00","2.664,00","2.664,00","","-1,19%"
"27.07.2026","2.696,00","2.696,00","2.696,00","2.696,00","","-1,71%"
"24.07.2026","2.743,00","2.743,00","2.743,00","2.743,00","","0,66%"
"23.07.2026","2.725,00","2.725,00","2.725,00","2.725,00","","0,37%"
"22.07.2026","2.715,00","2.715,00","2.715,00","2.715,00","","1,69%"
"21.07.2026","2.670,00","2.670,00","2.670,00","2.670,00","","-0,04%"
"20.07.2026","2.671,00","2.671,00","2.671,00","2.671,00","","-2,94%"
"17.07.2026","2.752,00","2.752,00","2.752,00","2.752,00","","-3,10%"
"16.07.2026","2.840,00","2.840,00","2.840,00","2.840,00","","-3,04%"
"15.07.2026","2.929,00","2.929,00","2.929,00","2.929,00","","-1,71%"
"14.07.2026","2.980,00","2.980,00","2.980,00","2.980,00","","0,68%"
"13.07.2026","2.960,00","2.960,00","2.960,00","2.960,00","","0,54%"
"10.07.2026","2.944,00","2.944,00","2.944,00","2.944,00","","1,17%"
"09.07.2026","2.910,00","2.910,00","2.910,00","2.910,00","","1,36%"
"08.07.2026","2.871,00","2.871,00","2.871,00","2.871,00","","-0,14%"
"07.07.2026","2.875,00","2.875,00","2.875,00","2.875,00","","2,79%"
"06.07.2026","2.797,00","2.797,00","2.797,00","2.797,00","","2,94%"
"03.07.2026","2.717,00","2.717,00","2.717,00","2.717,00","","2,53%"
"02.07.2026","2.650,00","2.650,00","2.650,00","2.650,00","","3,43%"
