"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"27.08.2026","3.107,00","3.107,00","3.107,00","3.107,00","","1,67%"
"26.08.2026","3.056,00","3.056,00","3.056,00","3.056,00","","4,44%"
"25.08.2026","2.926,00","2.926,00","2.926,00","2.926,00","","1,53%"
"24.08.2026","2.882,00","2.882,00","2.882,00","2.882,00","","1,44%"
"21.08.2026","2.841,00","2.841,00","2.841,00","2.841,00","","1,79%"
"20.08.2026","2.791,00","2.791,00","2.791,00","2.791,00","","0,54%"
"19.08.2026","2.776,00","2.776,00","2.776,00","2.776,00","","-1,39%"
"18.08.2026","2.815,00","2.815,00","2.815,00","2.815,00","","-2,19%"
"17.08.2026","2.878,00","2.878,00","2.878,00","2.878,00","","0,52%"
"14.08.2026","2.863,00","2.863,00","2.863,00","2.863,00","","0,67%"
"13.08.2026","2.844,00","2.844,00","2.844,00","2.844,00","","-3,23%"
"12.08.2026","2.939,00","2.939,00","2.939,00","2.939,00","","-3,51%"
"11.08.2026","3.046,00","3.046,00","3.046,00","3.046,00","","-1,20%"
"10.08.2026","3.083,00","3.083,00","3.083,00","3.083,00","","-0,19%"
"07.08.2026","3.089,00","3.089,00","3.089,00","3.089,00","","1,05%"
"06.08.2026","3.057,00","3.057,00","3.057,00","3.057,00","","-0,20%"
"05.08.2026","3.063,00","3.063,00","3.063,00","3.063,00","","4,33%"
"04.08.2026","2.936,00","2.936,00","2.936,00","2.936,00","","3,27%"
"03.08.2026","2.843,00","2.843,00","2.843,00","2.843,00","","4,06%"
"31.07.2026","2.732,00","2.732,00","2.732,00","2.732,00","","2,21%"
"30.07.2026","2.673,00","2.673,00","2.673,00","2.673,00","","1,56%"
"29.07.2026","2.632,00","2.632,00","2.632,00","2.632,00","","-1,20%"
"28.07.2026","2.664,00","2.664,00","2.664,00","2.664,00","","-1,19%"
"27.07.2026","2.696,00","2.696,00","2.696,00","2.696,00","","-1,71%"
