"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.09.2026","3.488,00","3.488,00","3.488,00","3.488,00","","4,71%"
"02.09.2026","3.331,00","3.331,00","3.331,00","3.331,00","","5,51%"
"01.09.2026","3.157,00","3.157,00","3.157,00","3.157,00","","-0,91%"
"28.08.2026","3.186,00","3.186,00","3.186,00","3.186,00","","2,54%"
"27.08.2026","3.107,00","3.107,00","3.107,00","3.107,00","","1,67%"
"26.08.2026","3.056,00","3.056,00","3.056,00","3.056,00","","4,44%"
"25.08.2026","2.926,00","2.926,00","2.926,00","2.926,00","","1,53%"
"24.08.2026","2.882,00","2.882,00","2.882,00","2.882,00","","1,44%"
"21.08.2026","2.841,00","2.841,00","2.841,00","2.841,00","","1,79%"
"20.08.2026","2.791,00","2.791,00","2.791,00","2.791,00","","0,54%"
"19.08.2026","2.776,00","2.776,00","2.776,00","2.776,00","","-1,39%"
"18.08.2026","2.815,00","2.815,00","2.815,00","2.815,00","","-2,19%"
"17.08.2026","2.878,00","2.878,00","2.878,00","2.878,00","","0,52%"
"14.08.2026","2.863,00","2.863,00","2.863,00","2.863,00","","0,67%"
"13.08.2026","2.844,00","2.844,00","2.844,00","2.844,00","","-3,23%"
"12.08.2026","2.939,00","2.939,00","2.939,00","2.939,00","","-3,51%"
"11.08.2026","3.046,00","3.046,00","3.046,00","3.046,00","","-1,20%"
"10.08.2026","3.083,00","3.083,00","3.083,00","3.083,00","","-0,19%"
"07.08.2026","3.089,00","3.089,00","3.089,00","3.089,00","","1,05%"
"06.08.2026","3.057,00","3.057,00","3.057,00","3.057,00","","-0,20%"
"05.08.2026","3.063,00","3.063,00","3.063,00","3.063,00","","4,33%"
"04.08.2026","2.936,00","2.936,00","2.936,00","2.936,00","","3,27%"
"03.08.2026","2.843,00","2.843,00","2.843,00","2.843,00","","4,06%"
